year,name,age,sex,genotype,value,,
2020,cancers,15,female,total,43.95565796,,
2020,cancers,20,female,total,368.1287384,,
2020,cancers,25,female,total,1060.429764,,
2020,cancers,30,female,total,1406.578125,,
2020,cancers,35,female,total,1906.5802,,
2020,cancers,40,female,total,1560.439941,,
2020,cancers,45,female,total,1423.075439,,
2020,cancers,50,female,total,1164.820435,,
2020,cancers,55,female,total,1868.09082,,
2020,cancers,65,female,total,774.708252,,
2020,cancers,70,female,total,395.5957031,,
2020,cancers,75,female,total,230.7641602,,
2020,cancers,80,female,total,115.3820801,,
2020,cancers,85,female,total,32.96630859,,
