year,name,age,sex,genotype,value
2010,cancers,0,female,total,0
2010,cancers,15,female,total,0
2010,cancers,20,female,total,30
2010,cancers,25,female,total,31.66666667
2010,cancers,30,female,total,158.3333333
2010,cancers,35,female,total,546.6666667
2010,cancers,40,female,total,193.3333333
2010,cancers,45,female,total,630
2010,cancers,50,female,total,400
2010,cancers,55,female,total,310
2010,cancers,65,female,total,948.3333333
2010,cancers,70,female,total,161.6666667
2010,cancers,75,female,total,190
2010,cancers,80,female,total,90
2010,cancers,85,female,total,0
2010,cancers,100,female,total,33.33333333
